wav_id , transcription
bom-bib1 , Yɛn a wɔ̀ wul yɛnɛ̂ sevwêl BeGerasa de sa sé e gurâ Gworep Galili. Sede Yɛsu a sé nusu yi e dwa-nshi
bom-bib2 , ko mwat hwak a nusu yi e tara de be lɛsɛ ɛ̀ bavîn bemat a man na yɛ. Mwat o a vɔk ceng e rato mɛ
bom-bib3 , ko kwɔ̂n sangal mɛ a hane de be lɛsɛ ɛ̀ bemat. Vit a mwat de a tɔk rɔgɔs hɛ na ngyang kwong wɛt. Ba kana rɔgɔs vɔ mɛ na bol mɛ na ngyang zang pyak
bom-bib4 , ko a kwɔrɔs yemo de ya sé e bol mɛ. Vit a mwat de a to tɔk ra pyɛ cak na yɛ yaga a vɔk gap sizɔng. Nagwi na naturuk a kyě kyè e ji tara na beraku
bom-bib5 , ko a yɛt rebek mɛ na beta.Sede a di Yɛsu yikyik a yi na setele a pom a gaba e nuyel mɛ ko a gbɔ na gbɔng fwɔ
bom-bib6 , yaga Yɛsu á kana yang ɛ À ceng nusu hwo yi e ji mwat womo Ko Yɛsu a rangal hɛ a ye Be tang o à wà arɛt Mwat o a toyo a yɛ a ye
bom-bib7 , Be tang me à Pyak  yaga wot a sé hyɔt! Ko a ra won na Yɛsu ding-ding de a pat yɛ̄ yi e yɛnɛ̂ sevwel sane wɛt.
bom-bib8 , Kwarâ bezà rwey o gwa losho hɛ bagat e hwomo gwa sé re sehwey e vwâ raku. Ko cēng o ya ra won na Yɛsu
bom-bib9 , Tomo hot vɔk e ji bezà na hwo tik ot na wot a wɔ̀ yel e ji vɛ.
bom-bib10 , Cēng o ya nusu yi e ji mwat o ko ya wɔ̀ yel e ji bezà mo. Kwara mo mwa de gwa sé sede gu baba
bom-bib11 , gwa hwo tele cidirang e vwak gwa wɔ̀ gaba e ji gworep ko nshi mo na vo gwɛ. Bemât gyeng bezà mo ba jut setele ba wɔ̀ shara há mo e ji repomo 
bom-bib12 , mo e ji repomo tanga nebapomo arɔng. Bemat ba nusu na be wɔ̀ di pyɛ de ya ga té. Jeng de yɛn a vey na Yɛsu yɛn a di mwat de á kana vɔk cēng pyak e sangal. A ga bang ɛ na berugu ko nehywɛ mɛ na ga to ɛn. Ko yɛn mwa ba wok bengyip
bom-bib13 , Vemo de bá kana di yɛn a ha a bemat o pyɛ de yá kana té na mwat o na e ra bezà arɔng. Ko yɛn a wɔ̀ ra won na Yɛsu na a hàla yɛnɛ̂ sevwel mɛn o
bom-bib14 , Jeng de Yɛsu a sé yel e ji dwa-nshi mwat de á kana vɔk cēng a ra won na yɛ a yang ɛ “Mê tɔk kyè tanga hwo arɛt Ko Yɛsu a simo a yɛ wɛt a yang ɛ Ci vɔk e lɔ na bemât lɔ mō
bom-bib15 , na hwo wɔ̀ ha a yɛn gbɔng pyɛ de Darwey a ga ra a hwo na yerê toshô reyɔm de a ga dura a hwo arɔng
bom-bib16 , Mwat o a kyè ko a yel e ji bapomo kuru de ba tâng vɛ à Dekapolis a hwo shara rehâ gbɔng pyɛ de Yɛsu a ga ra a yɛ. Ko mwa bemat de ba wok ba langat hɛn











































































 






























































































